2021-06-27 22:06:412 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:692 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:125 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:185 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:949 INFO  HomePage :32 - clicking on home tab[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //button[@class = 'btn home']]
2021-06-27 22:06:85 INFO  HomePage :24 - clicking on customerLogin tab[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //button[contains(text(), 'Customer Login')]]
2021-06-27 22:06:376 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:560 INFO  CustomerLoginPage :29 - Clikcing on Login Tab[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //button[text()='Login']]
2021-06-27 22:06:261 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:593 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:91 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:425 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:760 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:110 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:171 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:866 INFO  BankManagerLoginPage :25 - clicking open account tab[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-27 22:06:173 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:560 INFO  OpenAccountPage :43 - clicking on currency[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //select[@id = 'currency']][[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //option[contains(text(),  'Pound')]]
2021-06-27 22:06:768 INFO  OpenAccountPage :48 - clicking on process button[[ChromeDriver: chrome on WINDOWS (7279bf8b3968cab5b95b7332ab379d11)] -> xpath: //button[contains(text(), 'Process')]]
2021-06-27 22:06:763 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:340 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:226 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:69 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:434 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:795 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:837 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:526 INFO  HomePage :32 - clicking on home tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[@class = 'btn home']]
2021-06-27 22:06:677 INFO  HomePage :24 - clicking on customerLogin tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[contains(text(), 'Customer Login')]]
